2018-04-03 15:42:22,224 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-03 15:43:12,288 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mysql:mysql-connector-java:@MYSQL_CJ_VERSION@ @ C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\pom.xml.
2018-04-03 15:43:12,744 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:43:12,747 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\main\resources
2018-04-03 15:43:12,751 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:43:12,753 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\test\resources
2018-04-03 15:43:14,017 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mysql:mysql-connector-java:@MYSQL_CJ_VERSION@ @ C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\pom.xml.
2018-04-03 15:43:15,270 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:43:15,271 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\main\resources
2018-04-03 15:43:15,275 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:43:15,276 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\test\resources
2018-04-03 15:45:01,855 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:45:01,861 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\main\resources
2018-04-03 15:45:01,865 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:45:01,867 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\test\resources
2018-04-03 15:48:54,639 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mysql:mysql-connector-java:@MYSQL_CJ_VERSION@ @ C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\pom.xml.
2018-04-03 15:48:54,902 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:48:54,903 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\main\resources
2018-04-03 15:48:54,906 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:48:54,907 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\test\resources
2018-04-03 15:48:56,211 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mysql:mysql-connector-java:@MYSQL_CJ_VERSION@ @ C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\pom.xml.
2018-04-03 15:48:57,283 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:48:57,285 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\main\resources
2018-04-03 15:48:57,288 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-03 15:48:57,292 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\abraham\PassMatrix\pass-matrix-be\mysql-connector-java-5.1.46\mysql-connector-java-5.1.46\src\doc\sources\src\test\resources
2018-04-03 15:50:07,300 [Worker-6] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-07 23:16:05,142 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-07 23:16:06,323 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Updating Gradle version information cache failed. Using outdated cache.
